GEOID20,District
34001005101,4
34001005102,4
34001005103,4
34001005201,4
34001005202,4
34001005203,4
34001010101,4
34001010102,1
34001010103,1
34001010104,4
34001010201,4
34001010202,4
34001010203,4
34001010301,4
34001010302,4
34001010303,4
34001010304,4
34001010401,4
34001010402,4
34001010403,4
34001010404,4
34001010501,1
34001010502,4
34001010601,4
34001010602,4
34001010603,4
34001010604,4
34001015101,4
34001015201,4
34001015301,4
34001015401,4
34001020001,3
34001020002,3
34001025001,3
34001025002,3
34001025003,3
34001025004,3
34001030101,2
34001040001,1
34001040002,1
34001040003,2
34001040004,2
34001040005,2
34001040006,2
34001040007,2
34001040008,4
34001040009,4
34001040010,2
34001040011,2
34001040012,2
34001040013,4
34001040014,4
34001040015,4
34001040016,4
34001040017,2
34001040018,2
34001040019,2
34001040020,2
34001040021,2
34001040022,2
34001042101,2
34001042102,2
34001042103,2
34001042201,2
34001042202,2
34001042203,2
34001045001,1
34001050001,3
34001055001,4
34001055002,4
34001055003,4
34001055004,2
34001055005,4
34001055006,4
34001055007,4
34001055008,4
34001055009,4
34001055010,4
34001055011,4
34001055012,4
34001055013,4
34001055014,4
34001055015,4
34001055016,4
34001055017,4
34001060001,1
34001060002,1
34001060003,3
34001060004,1
34001060005,3
34001060006,3
34001060007,2
34001060008,1
34001060009,2
34001060010,2
34001060011,1
34001060012,1
34001060013,2
34001065001,3
34001065002,3
34001065003,3
34001065004,3
34001065005,3
34001065006,3
34001065007,3
34001070101,2
34001070102,2
34001070201,1
34001070202,1
34001070203,2
34001075001,1
34001080001,1
34001080002,1
34001080003,1
34001080004,1
34001085101,3
34001085201,3
34001085301,1
34001090101,2
34001090102,1
34001090103,1
34001090104,1
34001090201,1
34001090202,2
34001090203,2
34001090204,1
34001095101,4
34001095102,4
34001095103,4
34001095104,4
34001095201,4
34001095202,4
34001095203,4
34001095204,1
34001100101,4
34001100201,4
34001105101,2
34001105102,2
34001105103,2
34001105104,2
34001105201,2
34001105202,2
34001105203,2
34001105204,1
34001110001,4
34001110002,1
34001110003,1
34001110004,4
34001110005,4
34001115001,1
34001115002,1
34001ZZZZZZ,1
34003005001,12
34003005002,12
34003005003,12
34003005004,12
34003010001,12
34003015001,10
34003015002,10
34003015003,10
34003015004,10
34003015005,10
34003015006,10
34003015007,10
34003015008,10
34003015009,10
34003015010,10
34003015011,10
34003015012,10
34003015013,10
34003015014,10
34003015015,10
34003015016,10
34003015017,10
34003020001,10
34003020002,10
34003020003,10
34003020004,10
34003020005,10
34003020006,10
34003025001,10
34003025002,10
34003025003,10
34003025004,10
34003025005,10
34003030001,0
34003030002,0
34003030003,0
34003030004,0
34003030005,0
34003030006,0
34003030007,0
34003030008,0
34003030009,0
34003030010,0
34003030011,0
34003030012,0
34003030013,0
34003030014,0
34003030015,0
34003035001,12
34003035002,12
34003035003,12
34003035004,12
34003035005,12
34003035006,12
34003040001,0
34003040002,0
34003040003,0
34003040004,0
34003040005,10
34003040006,0
34003045001,10
34003045002,12
34003045003,12
34003050001,10
34003050002,10
34003050003,10
34003050004,10
34003050005,10
34003050006,10
34003050007,10
34003050008,0
34003050009,10
34003050010,0
34003050011,10
34003060001,10
34003060002,10
34003060003,10
34003060004,10
34003065001,0
34003065002,0
34003065003,0
34003065004,0
34003067001,10
34003067002,10
34003067003,10
34003067004,12
34003067005,12
34003067006,12
34003067007,10
34003067008,10
34003067009,10
34003067010,0
34003070001,12
34003070002,12
34003070003,12
34003070004,12
34003070005,12
34003070006,12
34003075101,10
34003075102,10
